name,Type,a (AU) ,e ,Value ($),Est. Profit ($),Δv (km/s),MOID (AU) ,Group
Eurykleia,Ch,2.878,0.044,>100 trillion,>100 trillion,,1.77542,MBA
Hilaritas,B,3.09,0.14,>100 trillion,>100 trillion,10.2,1.67188,MBA
Kolga,Cb,2.894,0.091,>100 trillion,>100 trillion,,1.64621,MBA
Charlotte,Xe,3.057,0.154,>100 trillion,>100 trillion,10.402,1.60985,MBA
Naema,C,2.938,0.07,>100 trillion,>100 trillion,11.036,1.75361,MBA
Nephele,B,3.14,0.17,>100 trillion,>100 trillion,10.136,1.59502,MBA
Ute,X,3.052,0.182,>100 trillion,>100 trillion,10.596,1.50185,MBA
Hammonia,C,2.993,0.055,>100 trillion,>100 trillion,10.568,1.84421,MBA
Psyche,X,2.924,0.134,27.67 billion,1.78 billion,,1.5358,MBA
Virtus,Ch,2.986,0.065,>100 trillion,>100 trillion,10.631,1.78295,MBA
May,X,2.968,0.07,>100 trillion,>100 trillion,10.786,1.77728,MBA
Rusthawelia,P,3.178,0.194,>100 trillion,>100 trillion,10.098,1.57568,MBA
Bathseba,K,3.022,0.133,>100 trillion,>100 trillion,10.597,1.65565,MBA
Leukothea,C,2.994,0.226,>100 trillion,>100 trillion,,1.31998,MBA
Hypatia,Ch,2.907,0.09,37.42 billion,2.41 billion,,1.65788,MBA
Edwin,Xe,2.983,0.065,>100 trillion,>100 trillion,10.682,1.80761,MBA
Valeria,L,2.977,0.123,>100 trillion,>100 trillion,10.929,1.66782,MBA
Janina,B,3.14,0.167,>100 trillion,>100 trillion,10.166,1.62702,MBA
Kalliope,X,2.915,0.098,7.88 billion,506.99 million,,1.64321,MBA
Charybdis,C,3.003,0.066,>100 trillion,>100 trillion,10.612,1.7964,MBA
Vilas,Ch,3.132,0.158,>100 trillion,>100 trillion,10.216,1.62035,MBA
Rauma,K,3.007,0.092,>100 trillion,>100 trillion,10.714,1.73206,MBA
Edisona,K,3.013,0.118,>100 trillion,>100 trillion,10.76,1.68078,MBA
Dodona,M,3.122,0.172,>100 trillion,>100 trillion,10.328,1.5908,MBA
Turandot,C,3.187,0.219,>100 trillion,>100 trillion,10.252,1.47707,MBA
Tatsuo,K,3.019,0.093,>100 trillion,>100 trillion,10.663,1.73588,MBA
Elyna,K,3.015,0.086,>100 trillion,>100 trillion,10.675,1.77718,MBA
Dorothea,K,3.013,0.098,>100 trillion,>100 trillion,10.738,1.71054,MBA
Tombaugh,Xc,3.024,0.102,>100 trillion,>100 trillion,10.683,1.71345,MBA
Whittemora,M,3.169,0.232,>100 trillion,>100 trillion,10.409,1.46205,MBA
Rarahu,K,3.017,0.108,>100 trillion,>100 trillion,10.772,1.67656,MBA
Schalen,D,3.094,0.116,15.81 billion,1.18 billion,10.35,1.73467,MBA
Tauris,C,3.153,0.307,>100 trillion,>100 trillion,11.367,1.27916,MBA
Hesperia,X,2.977,0.17,5.58 billion,358.91 million,,1.50235,MBA
Thekla,Ch,3.046,0.062,>100 trillion,>100 trillion,10.51,1.87488,MBA
Jena,B,3.122,0.134,>100 trillion,>100 trillion,10.293,1.71842,MBA
Centesima,K,3.014,0.084,>100 trillion,>100 trillion,10.784,1.77973,MBA
Koussevitzky,K,3.027,0.118,>100 trillion,>100 trillion,10.803,1.66254,MBA
Erminia,C,2.923,0.05,>100 trillion,>100 trillion,13.142,1.86393,MBA
Miune,X,3.007,0.067,>100 trillion,>100 trillion,10.833,1.83709,MBA
Theobalda,C,3.183,0.254,>100 trillion,>100 trillion,10.543,1.41304,MBA
Hannibal,Ch,3.125,0.22,>100 trillion,>100 trillion,10.681,1.46027,MBA
Marlu,P,3.11,0.237,>100 trillion,>100 trillion,11.027,1.40304,MBA
Pieters,K,3.022,0.097,>100 trillion,>100 trillion,10.887,1.72109,MBA
Washingtonia,C,3.17,0.27,>100 trillion,>100 trillion,10.834,1.36063,MBA
Sidonia,K,3.012,0.078,>100 trillion,>100 trillion,10.931,1.77546,MBA
Oriola,C,3.014,0.034,>100 trillion,>100 trillion,10.816,1.908,MBA
Laurentia,Ch,3.017,0.181,>100 trillion,>100 trillion,,1.48985,MBA
Nuwa,Cb,2.983,0.123,15.32 billion,985.08 million,,1.61167,MBA
Adzhimushkaj,K,3.005,0.045,>100 trillion,>100 trillion,11.071,1.88498,MBA
Angelica,Xc,3.154,0.282,>100 trillion,>100 trillion,11.446,1.32707,MBA
Makarenko,Xc,3.012,0.061,>100 trillion,63.11 trillion,11.06,1.8157,MBA
Ruth,M,3.015,0.036,>100 trillion,>100 trillion,10.968,1.90131,MBA
Cloelia,K,3.018,0.035,>100 trillion,>100 trillion,10.976,1.9236,MBA
Tergeste,L,3.016,0.083,>100 trillion,>100 trillion,11.147,1.80949,MBA
Zhangguoxi,K,3.018,0.032,>100 trillion,>100 trillion,11.013,1.92163,MBA
Freda,C,3.129,0.271,>100 trillion,>100 trillion,12.155,1.3922,MBA
Berenike,K,3.014,0.04,>100 trillion,>100 trillion,11.142,1.91635,MBA
Natalie,C,3.132,0.188,>100 trillion,>100 trillion,10.722,1.56682,MBA
Millis,B,3.128,0.103,>100 trillion,>100 trillion,10.431,1.82002,MBA
Asta,C,3.071,0.144,>100 trillion,>100 trillion,11.004,1.64111,MBA
Interamnia,B,3.058,0.155,644.19 billion,43.66 billion,11.379,1.65737,MBA
Sniadeckia,C,3.002,0.005,>100 trillion,>100 trillion,11.494,1.97286,MBA
Norma,B,3.19,0.15,>100 trillion,>100 trillion,10.319,1.72827,MBA
Isolda,Ch,3.041,0.161,38.25 billion,2.46 billion,,1.56738,MBA
Bernardina,X,3.143,0.154,>100 trillion,>100 trillion,10.58,1.68237,MBA
Eos,K,3.011,0.104,50.54 billion,3.25 billion,,1.68681,MBA
Pafuri,X,3.128,0.143,>100 trillion,>100 trillion,10.634,1.66571,MBA
Chalonge,Ch,3.123,0.186,>100 trillion,>100 trillion,10.941,1.60926,MBA
Malabar,Ch,2.988,0.049,>100 trillion,>100 trillion,13.114,1.89102,MBA
Lomia,X,2.99,0.028,5.97 billion,383.53 million,,1.92333,MBA
Pales,Ch,3.105,0.222,48.99 billion,3.15 billion,,1.42463,MBA
Quintilla,M,3.182,0.138,>100 trillion,>100 trillion,10.382,1.73787,MBA
Tanete,C,2.999,0.092,>100 trillion,>100 trillion,13.798,1.7354,MBA
Klotilde,C,3.173,0.161,>100 trillion,>100 trillion,10.509,1.68992,MBA
Ani,C,3.124,0.193,>100 trillion,>100 trillion,11.126,1.51392,MBA
Palma,B,3.15,0.259,>100 trillion,>100 trillion,11.988,1.44687,MBA
Isergina,C,3.141,0.12,>100 trillion,>100 trillion,10.561,1.7807,MBA
Semele,C,3.107,0.215,>100 trillion,>100 trillion,,1.44908,MBA
Persephone,X,3.054,0.075,>100 trillion,>100 trillion,11.225,1.83129,MBA
Etheridgea,C,3.029,0.097,>100 trillion,>100 trillion,,1.73091,MBA
The NORC,C,3.191,0.229,>100 trillion,>100 trillion,10.908,1.49943,MBA
Carnegia,Xk,3.093,0.067,>100 trillion,>100 trillion,10.836,1.91758,MBA
Arethusa,Ch,3.065,0.153,>100 trillion,>100 trillion,,1.61219,MBA
Meliboea,C,3.123,0.212,65.95 billion,4.24 billion,,1.48853,MBA
Germania,B,3.05,0.103,>100 trillion,>100 trillion,,1.73651,MBA
Radek,D,3.182,0.21,7.29 billion,514.60 million,10.927,1.55913,MBA
Elektra,Ch,3.125,0.209,56.90 billion,3.66 billion,,1.54137,MBA
Diotima,C,3.066,0.036,>100 trillion,>100 trillion,11.224,1.94249,MBA
Eucharis,Xk,3.126,0.206,>100 trillion,>100 trillion,,1.52686,MBA
Kreusa,C,3.167,0.158,>100 trillion,>100 trillion,10.791,1.70416,MBA
Lorraine,Xc,3.096,0.071,>100 trillion,>100 trillion,11.047,1.88679,MBA
Finsen,C,3.13,0.151,>100 trillion,>100 trillion,11.123,1.6585,MBA
Zappala,T,3.134,0.153,35.65 billion,2.47 billion,11.137,1.71115,MBA
Ara,M,3.146,0.201,>100 trillion,>100 trillion,11.575,1.56473,MBA
Davida,C,3.165,0.188,>100 trillion,>100 trillion,11.145,1.59307,MBA
Euphrosyne,Cb,3.155,0.221,143.32 billion,9.21 billion,,1.56992,MBA
Melusina,C,3.121,0.138,>100 trillion,>100 trillion,11.276,1.68617,MBA
Lictoria,Xc,3.184,0.124,>100 trillion,>100 trillion,10.623,1.8059,MBA
Maritima,C,3.137,0.176,>100 trillion,>100 trillion,11.515,1.68148,MBA
Filipenko,C,3.181,0.204,>100 trillion,>100 trillion,11.216,1.61401,MBA
Messalina,Cb,3.203,0.17,>100 trillion,>100 trillion,10.748,1.65067,OMB
Andromache,Cg,3.183,0.233,>100 trillion,>100 trillion,,1.43308,MBA
Fatme,X,3.124,0.052,>100 trillion,>100 trillion,10.992,1.97045,MBA
Laodica,X,3.154,0.1,>100 trillion,>100 trillion,10.874,1.86385,MBA
Europa,C,3.093,0.11,220.94 billion,14.19 billion,,1.76943,MBA
Ornamenta,C,3.111,0.159,>100 trillion,>100 trillion,12.702,1.64167,MBA
Imatra,C,3.111,0.095,>100 trillion,>100 trillion,11.469,1.85518,MBA
Erato,Ch,3.135,0.168,>100 trillion,>100 trillion,,1.61861,MBA
Clara,L,3.197,0.123,>100 trillion,>100 trillion,10.719,1.83185,MBA
Bredichina,C,3.177,0.16,>100 trillion,>100 trillion,11.124,1.68071,MBA
Farinella,D,3.204,0.151,10.15 billion,723.18 million,10.812,1.72028,OMB
Aemilia,Ch,3.103,0.107,>100 trillion,>100 trillion,,1.78927,MBA
Kamenyar,Ch,3.164,0.096,>100 trillion,>100 trillion,10.892,1.85653,MBA
Vundtia,C,3.142,0.077,>100 trillion,>100 trillion,11.104,1.92018,MBA
Ursula,Xc,3.128,0.105,>100 trillion,>100 trillion,11.524,1.78953,MBA
Klymene,Ch,3.145,0.161,>100 trillion,>100 trillion,,1.6552,MBA
Antiope,C,3.15,0.166,>100 trillion,>100 trillion,,1.61312,MBA
Veritas,Ch,3.172,0.094,>100 trillion,>100 trillion,10.91,1.87431,MBA
Ophelia,C,3.129,0.132,>100 trillion,>100 trillion,,1.72612,MBA
Tanjiazhen,C,3.177,0.087,>100 trillion,>100 trillion,10.855,1.89736,MBA
Thomana,Cgh,3.172,0.1,>100 trillion,>100 trillion,10.949,1.86047,MBA
Pulcova,C,3.153,0.106,>100 trillion,>100 trillion,11.201,1.83531,MBA
Byblis,X,3.166,0.18,>100 trillion,>100 trillion,,1.57836,MBA
Nerthus,C,3.135,0.104,>100 trillion,>100 trillion,11.57,1.80476,MBA
Silesia,Ch,3.126,0.111,>100 trillion,>100 trillion,,1.79359,MBA
Doris,Ch,3.11,0.072,57.85 billion,3.71 billion,,1.90839,MBA
Vincentina,Ch,3.146,0.056,>100 trillion,>100 trillion,11.168,1.96105,MBA
Aletheia,X,3.133,0.129,7.81 billion,501.66 million,,1.71496,MBA
Themis,B,3.136,0.125,52.83 billion,3.39 billion,,1.75813,MBA
Bettina,Xk,3.143,0.135,>100 trillion,>100 trillion,,1.77023,MBA
Nata,Ch,3.163,0.054,>100 trillion,>100 trillion,11.011,2.01066,MBA
Edna,C,3.197,0.197,>100 trillion,>100 trillion,11.942,1.66959,MBA
Tjossem,Cg,3.173,0.074,>100 trillion,>100 trillion,11.03,1.93432,MBA
Harris,T,3.122,0.068,4.59 billion,305.67 million,11.565,1.92548,MBA
Loreley,Cb,3.126,0.086,168.40 billion,10.81 billion,,1.84314,MBA
Philippa,C,3.118,0.026,>100 trillion,>100 trillion,11.799,2.08595,MBA
Jean-Jacques,M,3.125,0.048,>100 trillion,>100 trillion,11.72,1.99643,MBA
Hygiea,C,3.142,0.112,750.20 billion,48.17 billion,,1.77839,MBA
Lachesis,C,3.12,0.052,>100 trillion,>100 trillion,,1.95778,MBA
Aristophanes,Ch,3.169,0.052,>100 trillion,>100 trillion,11.064,2.00652,MBA
Iduna,Ch,3.181,0.171,>100 trillion,>100 trillion,,1.64352,MBA
Gedania,C,3.195,0.097,>100 trillion,>100 trillion,10.986,1.89913,MBA
Brambilla,Cgh,3.161,0.081,>100 trillion,>100 trillion,11.365,1.89859,MBA
Kharadze,Ch,3.173,0.056,>100 trillion,>100 trillion,11.157,2.02366,MBA
Dione,Cgh,3.186,0.162,25.61 billion,1.64 billion,,1.67634,MBA
Comacina,C,3.153,0.047,>100 trillion,>100 trillion,11.47,2.01025,MBA
Christa,Xc,3.205,0.087,>100 trillion,>100 trillion,10.995,1.95242,OMB
Aurora,C,3.157,0.094,60.78 billion,3.90 billion,,1.88276,MBA
Sundmania,X,3.192,0.058,>100 trillion,>100 trillion,11.095,2.01387,MBA
Uzbekistania,Xk,3.195,0.067,>100 trillion,>100 trillion,11.094,2.00942,MBA
Leontina,X,3.203,0.069,>100 trillion,>100 trillion,11.025,1.97275,OMB
Protogeneia,C,3.141,0.026,106.04 billion,6.81 billion,,2.05303,MBA
Spiridonia,P,3.171,0.075,>100 trillion,>100 trillion,11.729,1.94202,MBA
Dido,Xc,3.147,0.056,5.06 billion,324.78 million,,1.96638,MBA
Princetonia,C,3.163,0.008,>100 trillion,>100 trillion,11.705,2.12794,MBA
Heidelberga,M,3.216,0.157,>100 trillion,>100 trillion,,1.73652,OMB
Arosa,X,3.196,0.118,>100 trillion,>100 trillion,11.985,1.82204,MBA
Caltech,Xc,3.172,0.105,>100 trillion,>100 trillion,14.284,1.94884,MBA
Aralia,Xk,3.212,0.112,>100 trillion,>100 trillion,11.575,1.92359,OMB
Helio,B,3.202,0.145,>100 trillion,>100 trillion,13.103,1.75338,OMB
Tugela,Xc,3.229,0.148,>100 trillion,>100 trillion,11.83,1.78002,OMB
Undina,Xc,3.186,0.105,4.88 billion,312.95 million,,1.85836,MBA
Carina,C,3.189,0.087,>100 trillion,>100 trillion,12.113,1.95286,MBA
Myrrha,Cb,3.225,0.09,>100 trillion,>100 trillion,11.304,1.92842,OMB
Elfriede,C,3.191,0.07,>100 trillion,>100 trillion,11.93,1.98061,MBA
Dejopeja,X,3.188,0.066,>100 trillion,>100 trillion,,1.97954,MBA
Bertha,C,3.196,0.077,71.69 billion,4.60 billion,,1.952,MBA
Kartvelia,Xc,3.217,0.117,>100 trillion,>100 trillion,12.037,1.83428,OMB
Alikoski,C,3.212,0.083,>100 trillion,>100 trillion,11.921,2.00021,OMB
Iclea,Ch,3.196,0.028,>100 trillion,>100 trillion,,2.10386,MBA
Cincinnati,Xk,3.421,0.314,>100 trillion,48.90 trillion,15.198,1.63428,OMB
Harimaya-Bashi,Xc,3.204,0.066,>100 trillion,>100 trillion,12.128,2.01329,OMB
Alauda,B,3.192,0.017,>100 trillion,>100 trillion,12.758,2.1208,MBA
Henrietta,C,3.394,0.264,>100 trillion,>100 trillion,,1.58027,OMB
Gerda,L,3.225,0.032,>100 trillion,>100 trillion,,2.13584,OMB
Tauntonia,Xk,3.21,0.034,>100 trillion,>100 trillion,12.917,2.12574,OMB
Stereoskopia,C,3.376,0.119,>100 trillion,>100 trillion,10.768,1.97895,OMB
Tchaikovsky,D,3.401,0.181,21.49 billion,1.49 billion,11.124,1.80437,OMB
Luscinia,C,3.404,0.157,>100 trillion,>100 trillion,10.971,1.87691,OMB
Kythera,T,3.422,0.119,725.75 billion,52.03 billion,10.735,2.01916,OMB
Lydina,C,3.406,0.106,>100 trillion,>100 trillion,11.139,2.06436,OMB
Tisiphone,C,3.352,0.092,>100 trillion,>100 trillion,12.297,2.11451,OMB
Herrick,C,3.439,0.126,>100 trillion,>100 trillion,11.031,2.039,OMB
Scheherezade,P,3.363,0.057,>100 trillion,>100 trillion,11.752,2.20656,OMB
Dubiago,D,3.412,0.069,52.24 billion,3.63 billion,11.081,2.16701,OMB
Freia,X,3.413,0.166,5.14 billion,329.52 million,,1.86461,OMB
Pretoria,P,3.408,0.152,>100 trillion,>100 trillion,12.263,1.89988,OMB
Sibylla,Ch,3.372,0.074,36.21 billion,2.32 billion,,2.12595,OMB
Tone,P,3.36,0.051,>100 trillion,>100 trillion,12.221,2.20858,OMB
Riga,Cb,3.358,0.056,>100 trillion,>100 trillion,13.06,2.17621,OMB
Bertholda,P,3.415,0.03,>100 trillion,>100 trillion,11.309,2.33538,OMB
Cybele,Xc,3.426,0.112,15.79 billion,1.01 billion,,2.02972,OMB
Hermione,Ch,3.452,0.132,43.45 billion,2.79 billion,,2.00636,OMB
Abastumani,P,3.438,0.035,>100 trillion,>100 trillion,12.789,2.32559,OMB
Sylvia,X,3.483,0.093,14.73 billion,943.99 million,,2.17369,OMB
Pushkin,D,3.497,0.031,14.16 billion,961.24 million,11.328,2.40556,OMB
Liriope,Cg,3.507,0.072,>100 trillion,>100 trillion,11.417,2.27564,OMB
Tabora,D,3.553,0.117,86.91 billion,5.99 billion,11.165,2.14421,OMB
Camilla,X,3.492,0.065,11.22 billion,719.15 million,,2.29158,OMB
El Leoncito,D,3.634,0.042,31.17 billion,2.09 billion,11.483,2.47418,OMB
Kirkwood,D,3.923,0.24,21.67 billion,1.57 billion,10.629,1.99763,OMB
Mauderli,D,3.958,0.22,18.81 billion,1.34 billion,10.797,2.07359,OMB
Oda,D,3.756,0.092,37.16 billion,2.46 billion,11.579,2.41779,OMB
Simeisa,P,3.945,0.188,>100 trillion,>100 trillion,10.924,2.22014,OMB
Brouwer,D,3.95,0.208,50.77 billion,3.52 billion,11.085,2.13458,OMB
Venusia,P,4.006,0.216,>100 trillion,>100 trillion,10.834,2.15619,OMB
Francette,X,3.951,0.191,>100 trillion,>100 trillion,11.123,2.2118,OMB
Aksnes,P,3.964,0.182,>100 trillion,>100 trillion,10.987,2.2619,OMB
Schubart,P,3.973,0.171,>100 trillion,>100 trillion,11.021,2.31146,OMB
Hidalgo,D,5.741,0.661,11.40 billion,576.08 million,15.188,1.1504,CEN
Bus,T,3.969,0.161,32.62 billion,2.25 billion,11.13,2.32364,OMB
Duboshin,D,3.961,0.157,26.16 billion,1.80 billion,11.171,2.34685,OMB
Rollandia,D,3.902,0.1,239.75 billion,16.26 billion,11.316,2.52449,OMB
Cunningham,P,3.943,0.17,>100 trillion,>100 trillion,11.572,2.28487,OMB
Normannia,D,3.897,0.079,66.05 billion,4.43 billion,11.447,2.58335,OMB
Oulu,P,3.959,0.144,>100 trillion,>100 trillion,11.295,2.38242,OMB
Larissa,P,3.932,0.107,>100 trillion,>100 trillion,11.291,2.49786,OMB
Rita,P,3.996,0.158,>100 trillion,>100 trillion,11.298,2.35144,OMB
Chicago,C,3.89,0.024,>100 trillion,>100 trillion,11.704,2.78295,OMB
Ismene,X,3.986,0.166,>100 trillion,>100 trillion,,2.34662,OMB
Bowell,D,3.955,0.093,23.59 billion,1.57 billion,11.529,2.59118,OMB
Libya,P,3.974,0.102,>100 trillion,>100 trillion,11.414,2.5888,OMB
Hilda,X,3.98,0.14,>100 trillion,>100 trillion,,2.41041,OMB
Thule,X,4.283,0.04,>100 trillion,>100 trillion,,3.12849,OMB
Priamus,D,5.182,0.123,214.62 billion,13.38 billion,12.263,3.53166,TJN
Peiroos,D,5.147,0.077,136.25 billion,8.04 billion,12.953,3.73444,TJN
Pandarus,D,5.182,0.069,85.09 billion,5.32 billion,12.228,3.81642,TJN
Deiphobus,D,5.127,0.044,343.23 billion,17.66 billion,14.853,3.88271,TJN
Antenor,D,5.15,0.016,193.48 billion,11.73 billion,12.61,4.08906,TJN
Antilochus,D,5.132,0.052,267.86 billion,13.55 billion,15.106,3.87455,TJN
Mentor,X,5.143,0.07,>100 trillion,>100 trillion,14.345,3.81953,TJN
Patroclus,P,5.216,0.138,>100 trillion,>100 trillion,13.628,3.5405,TJN
Alcathous,D,5.18,0.067,305.20 billion,17.63 billion,13.23,3.86847,TJN
Paris,T,5.221,0.127,1.82 trillion,94.84 billion,14.641,3.56462,TJN
Aneas,D,5.219,0.104,341.49 billion,19.96 billion,13.075,3.6861,TJN
Phereclos,D,5.212,0.046,176.01 billion,10.88 billion,12.359,3.96021,TJN
Anchises,P,5.292,0.138,>100 trillion,>100 trillion,12.121,3.55212,TJN
Odysseus,D,5.248,0.09,312.85 billion,19.62 billion,12.186,3.79531,TJN
Cebriones,D,5.213,0.037,183.66 billion,8.83 billion,15.899,4.05788,TJN
Hektor,D,5.26,0.023,2.37 trillion,132.44 billion,13.653,4.14513,TJN
Agamemnon,D,5.278,0.066,467.42 billion,25.59 billion,13.956,4.02013,TJN
Chiron,Cb,13.669,0.38,>100 trillion,>100 trillion,11.922,7.47103,CEN
Chariklo,D,15.842,0.171,5.72 trillion,305.43 billion,14.258,12.2113,CEN
2002 EC,X,2.149,0.519,48.34 million,8.21 million,5.977,0.044509,AMO
Golevka,Q,2.502,0.605,35.51 million,5.03 million,6.441,0.02805,APO (PHA)
1991 BN,Q,1.443,0.398,33.42 million,6.97 million,5.571,0.020635,APO (PHA)
1999 VQ5,Q,2.422,0.433,29.07 million,1.64 million,13.739,0.400216,MCA
2000 PG3,D,2.824,0.856,15.39 million,1.07 million,11.205,0.210137,APO
2002 AL31,X,1.177,0.248,10.58 million,2.41 million,5.412,0.012816,APO
1984 BC,D,3.494,0.533,8.16 million,610347.4187,10.34,0.696671,OMB
2000 AC6,Q,0.853,0.286,1.30 million,148811.8865,7.317,0.046069,ATE (PHA)
2001 SK162,T,1.926,0.474,726094.4661,148518.8733,5.598,0.029371,APO (PHA)
2001 AE2,T,1.35,0.082,132253.4537,28914.58507,5.485,0.233602,AMO
Aegle,T,3.051,0.141,61960,3981.251333,,1.64137,MBA
2001 UU92,T,3.171,0.668,38142.31268,4300.143476,7.287,0.118818,AMO
2001 YE1,T,1.912,0.501,14501.30283,2547.227037,5.905,0.059394,APO
2001 SG286,D,1.358,0.347,2420.770465,486.8816269,5.64,0.005336,APO (PHA)
2002 AT4,D,1.867,0.446,1599.387185,334.4927519,5.557,0.042987,AMO (PHA)
Herculina,S,2.773,0.175,0,0,10.733,1.3544,MBA
Eleonora,Sl,2.799,0.114,0,0,11.417,1.4929,MBA
Papagena,S,2.894,0.229,0,0,10.45,1.26726,MBA
Dembowska,R,2.923,0.092,0,0,10.493,1.65738,MBA
Harmonia,S,2.267,0.047,0,0,,1.16159,MBA
Fides,S,2.642,0.176,0,0,,1.19442,MBA
Rachele,S,2.923,0.195,0,0,10.484,1.38596,MBA
Alkeste,S,2.631,0.075,0,0,,1.41966,MBA
Hermentaria,S,2.796,0.102,0,0,10.286,1.53123,MBA
Hekate,S,3.087,0.169,0,0,,1.54987,MBA
Vaticana,Sl,2.792,0.218,0,0,10.088,1.17168,MBA
Hera,S,2.702,0.079,0,0,,1.47464,MBA
Pomona,S,2.589,0.081,0,0,,1.37704,MBA
Thyra,S,2.38,0.193,0,0,,0.969638,MBA
Ludmilla,S,2.769,0.204,0,0,9.817,1.22183,MBA
Vera,S,3.096,0.196,0,0,,1.49521,MBA
Hecuba,Sl,3.237,0.055,0,0,,2.05678,OMB
Industria,S,2.608,0.067,0,0,10.072,1.45103,MBA
Cyrene,S,3.064,0.135,0,0,,1.64564,MBA
Sirona,Sk,2.766,0.142,0,0,,1.38617,MBA
Sappho,S,2.296,0.2,0,0,,0.842872,MBA
Helena,S,2.584,0.14,0,0,,1.21145,MBA
Phaedra,S,2.862,0.141,0,0,,1.47493,MBA
Tyche,S,2.616,0.204,0,0,,1.08817,MBA
Genua,S,2.749,0.192,0,0,10.276,1.28699,MBA
Eurynome,S,2.447,0.19,0,0,,0.99198,MBA
Libussa,S,2.797,0.137,0,0,,1.42165,MBA
Alkmene,Sq,2.763,0.22,0,0,,1.17092,MBA
Alphonsina,S,2.702,0.079,0,0,11.939,1.51095,MBA
Althaea,Sl,2.581,0.08,0,0,,1.37392,MBA
Ampella,S,2.459,0.227,0,0,,0.923875,MBA
Semiramis,Sl,2.374,0.233,0,0,8.979,0.854859,MBA
Cyane,S,2.809,0.098,0,0,10.358,1.56608,MBA
Suleika,Sl,2.712,0.236,0,0,9.588,1.09018,MBA
Bohemia,S,2.728,0.065,0,0,10.242,1.53546,MBA
Iolanda,S,3.064,0.095,0,0,11.425,1.77973,MBA
Philippina,S,2.793,0.082,0,0,11.666,1.6487,MBA
Amalthea,S,2.376,0.087,0,0,,1.17311,MBA
Arequipa,S,2.59,0.245,0,0,9.533,0.963454,MBA
Pythia,S,2.369,0.146,0,0,9.604,1.00665,MBA
Pierretta,Sk,2.782,0.16,0,0,,1.3435,MBA
Justitia,Ld,2.616,0.213,0,0,,1.04838,MBA
Brunhild,S,2.695,0.12,0,0,,1.39196,MBA
Burgundia,S,2.78,0.08,0,0,10.386,1.5492,MBA
Marconia,Ld,3.063,0.132,0,0,10.224,1.65491,MBA
Coelestina,S,2.763,0.071,0,0,,1.552,MBA
Peitho,S,2.437,0.165,0,0,,1.05591,MBA
Sylvania,S,2.791,0.183,0,0,10.076,1.29613,MBA
Lacrimosa,Sk,2.892,0.012,0,0,,1.87387,MBA
Urda,Sk,2.852,0.037,0,0,,1.73003,MBA
Elsa,S,2.416,0.186,0,0,,0.97826,MBA
Abundantia,Sl,2.592,0.033,0,0,,1.51343,MBA
Koronis,S,2.871,0.052,0,0,,1.73552,MBA
Abnoba,S,2.789,0.179,0,0,10.485,1.2797,MBA
Ganymed,S,2.664,0.533,0,0,10.369,0.343497,AMO
Edda,S,2.814,0.011,0,0,10.4,1.80168,MBA
Zelia,Sl,2.358,0.131,0,0,,1.0393,MBA
Pepita,S,3.069,0.111,0,0,11.411,1.76322,MBA
Phyllis,S,2.464,0.104,0,0,9.415,1.22591,MBA
Bandusia,S,2.67,0.145,0,0,10.266,1.30102,MBA
Ottegebe,S,2.801,0.194,0,0,9.743,1.25737,MBA
Belisana,S,2.461,0.043,0,0,,1.33862,MBA
Menippe,S,2.761,0.179,0,0,,1.28314,MBA
Planckia,S,3.127,0.11,0,0,11.2,1.79924,MBA
Geometria,Sl,2.289,0.172,0,0,8.679,0.883498,MBA
Burdigala,S,2.651,0.149,0,0,9.586,1.27543,MBA
Turnera,Sq,3.021,0.101,0,0,10.807,1.72969,MBA
Eriphyla,S,2.872,0.088,0,0,10.161,1.61635,MBA
Bohlinia,Sq,2.886,0.019,0,0,10.47,1.84292,MBA
Margarita,S,2.762,0.113,0,0,,1.44883,MBA
Zelima,S,3.019,0.084,0,0,10.902,1.75656,MBA
Maria,S,2.554,0.064,0,0,,1.41245,MBA
Istria,S,2.791,0.35,0,0,,1.00951,MBA
Paulina,S,2.756,0.132,0,0,,1.39565,MBA
Gretia,Sr,2.802,0.197,0,0,9.845,1.26151,MBA
Aaltje,Sl,2.954,0.051,0,0,10.751,1.82164,MBA
Nassovia,Sq,2.884,0.059,0,0,10.316,1.72963,MBA
Arete,S,2.738,0.164,0,0,,1.29195,MBA
Weringia,S,2.712,0.204,0,0,,1.15262,MBA
Merxia,Sq,2.744,0.129,0,0,9.811,1.4139,MBA
Sara,S,2.978,0.045,0,0,10.673,1.84048,MBA
Columbia,Sl,2.776,0.061,0,0,,1.59872,MBA
Pittsburghia,S,2.667,0.058,0,0,10.665,1.49793,MBA
Arduina,S,2.764,0.227,0,0,9.425,1.13859,MBA
Crimea,S,2.772,0.113,0,0,10.764,1.4894,MBA
Glauke,S,2.762,0.205,0,0,,1.19619,MBA
Jugurtha,S,2.722,0.017,0,0,10.596,1.69157,MBA
Theresia,S,2.795,0.171,0,0,,1.32911,MBA
Punkaharju,S,2.785,0.259,0,0,10.306,1.08185,MBA
Florentina,S,2.885,0.047,0,0,,1.76614,MBA
Holmia,S,2.776,0.13,0,0,9.985,1.42166,MBA
Kilia,S,2.405,0.094,0,0,9.463,1.17956,MBA
Franzia,S,2.803,0.082,0,0,10.935,1.61695,MBA
Gisela,Sl,2.194,0.15,0,0,8.455,0.872211,MBA
